pose_id,display_name,sanskrit_simplified_primary,sanskrit_latin_primary,category,subcategory,difficulty,pose_url,suggested_filename
GateReverse,Reverse Gate,viparita parighasana,viparīta parighāsana,arm_leg_support,lateral_bend,beginner,https://pocketyoga.com/pose/GateReverse,Reverse_Gate_Viparita_Parighasana
GherandaI,Sage Gheranda's,gherandasana,gheraṇḍāsana,prone,neutral,expert,https://pocketyoga.com/pose/GherandaI,Sage_Gheranda_s_Gherandasana
Goddess,Goddess,utkata konasana,utkaṭa koṇāsana,standing,neutral,beginner,https://pocketyoga.com/pose/Goddess,Goddess_Utkata_Konasana
GoddessArmsUp,Goddess with Arms Up,,,standing,neutral,beginner,https://pocketyoga.com/pose/GoddessArmsUp,Goddess_with_Arms_Up
GoddessBothHeelsRaise,Goddess on Toes,,,standing,neutral,beginner,https://pocketyoga.com/pose/GoddessBothHeelsRaise,Goddess_on_Toes
GoddessCactusArms,Goddess with Cactus Arms,,,standing,neutral,beginner,https://pocketyoga.com/pose/GoddessCactusArms,Goddess_with_Cactus_Arms
GoddessOneHeelRaise,Goddess with Heel Lift,,,standing,neutral,beginner,https://pocketyoga.com/pose/GoddessOneHeelRaise,Goddess_with_Heel_Lift
Gorilla,Gorilla,pada hastasana,pāda hastāsana,standing,forward_bend,intermediate,https://pocketyoga.com/pose/Gorilla,Gorilla_Pada_Hastasana
GorillaPreparation,Gorilla (Preparation),,,standing,forward_bend,intermediate,https://pocketyoga.com/pose/GorillaPreparation,Gorilla_Preparation
Grasshopper,Grasshopper,maksikanagasana,makṣikanāgāsana,arm_balance_and_inversion,twist,expert,https://pocketyoga.com/pose/Grasshopper,Grasshopper_Maksikanagasana
HalfFrogTraditional,Half Frog,ardha bhekasana,ardha bhekāsana,prone,neutral,intermediate,https://pocketyoga.com/pose/HalfFrogTraditional,Half_Frog_Ardha_Bhekasana
HalfMoon,Half Moon,ardha chandrasana,ardha candrāsana,standing,balancing,intermediate,https://pocketyoga.com/pose/HalfMoon,Half_Moon_Ardha_Chandrasana
HalfMoonBound,Sugarcane,ardha chandra chapasana,ardha candra cāpāsana,standing,balancing,expert,https://pocketyoga.com/pose/HalfMoonBound,Sugarcane_Ardha_Chandra_Chapasana
HalfMoonBoundHands,Bound Half Moon,baddha ardha chandrasana,baddha ardha candrāsana,standing,balancing,expert,https://pocketyoga.com/pose/HalfMoonBoundHands,Bound_Half_Moon_Baddha_Ardha_Chandrasana
HalfMoonRevolved,Revolved Half Moon,parivritta ardha chandrasana,parivṛtta ardha candrāsana,standing,twist,intermediate,https://pocketyoga.com/pose/HalfMoonRevolved,Revolved_Half_Moon_Parivritta_Ardha_Chandrasana
HalfMoonRevolvedBound,Bound Revolved Half Moon,parivritta baddha ardha chandrasana,parivṛtta baddha ardha candrāsana,standing,twist,expert,https://pocketyoga.com/pose/HalfMoonRevolvedBound,Bound_Revolved_Half_Moon_Parivritta_Baddha_Ardha_Chandrasana
HalfMoonRevolvedBow,Revolved Half Moon Bow,,,standing,twist,expert,https://pocketyoga.com/pose/HalfMoonRevolvedBow,Revolved_Half_Moon_Bow
Handstand,Handstand,adho mukha vrikshasana,adho mukha vṛkṣāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/Handstand,Handstand_Adho_Mukha_Vrikshasana
HandstandEagle,Handstand with Eagle Legs,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HandstandEagle,Handstand_with_Eagle_Legs
HandstandHalfWay,Pike Handstand,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HandstandHalfWay,Pike_Handstand
HandstandLotus,Handstand with Lotus Legs,padma adho mukha vriksasana,padma adho mukha vṛkṣāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HandstandLotus,Handstand_with_Lotus_Legs_Padma_Adho_Mukha_Vriksasana
HandstandScorpion,Scorpion Handstand,vrischikasana b,vṛścikāsana b,arm_balance_and_inversion,backbend,expert,https://pocketyoga.com/pose/HandstandScorpion,Scorpion_Handstand_Vrischikasana_B
HandstandScorpionOneLegged,One Legged Scorpion Handstand,eka pada vrischikasana b,eka pāda vṛścikāsana b,arm_balance_and_inversion,backbend,expert,https://pocketyoga.com/pose/HandstandScorpionOneLegged,One_Legged_Scorpion_Handstand_Eka_Pada_Vrischikasana_B
HandstandSplits,Handstand with Splits,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HandstandSplits,Handstand_with_Splits
HandstandTuck,Handstand Tuck,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HandstandTuck,Handstand_Tuck
HeadstandSupported,Supported Headstand,salamba shirshasana a,sālamba śīrṣāsana a,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupported,Supported_Headstand_Salamba_Shirshasana_A
HeadstandSupportedBoundAngle,Supported Headstand with Bound Angle Legs,baddha kona shirshasana,baddha koṇa śīrṣāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedBoundAngle,Supported_Headstand_with_Bound_Angle_Legs_Baddha_Kona_Shirshasana
HeadstandSupportedEagle,Supported Headstand with Eagle Legs,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedEagle,Supported_Headstand_with_Eagle_Legs
HeadstandSupportedEmbryo,Supported Headstand Embryo,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedEmbryo,Supported_Headstand_Embryo
HeadstandSupportedHalfWay,Supported Headstand Pike,urdhva dandasana,ūrdhva daṇḍāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedHalfWay,Supported_Headstand_Pike_Urdhva_Dandasana
HeadstandSupportedII,Supported Headstand II,salamba shirshasana b,sālamba śīrṣāsana b,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedII,Supported_Headstand_II_Salamba_Shirshasana_B
HeadstandSupportedIII,Supported Headstand III,salamba shirshasana c,sālamba śīrṣāsana c,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedIII,Supported_Headstand_III_Salamba_Shirshasana_C
HeadstandSupportedIIIPreparation,Supported Headstand III (Preparation),,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedIIIPreparation,Supported_Headstand_III_Preparation
HeadstandSupportedIIIPreparationHipsOverHead,Supported Headstand III with Toes on the Ground,,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedIIIPreparationHipsOverHead,Supported_Headstand_III_with_Toes_on_the_Ground
HeadstandSupportedIIPreparation,Supported Headstand II (Preparation),,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedIIPreparation,Supported_Headstand_II_Preparation
HeadstandSupportedIIPreparationHipsOverHead,Supported Headstand II with Toes on the Ground,,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedIIPreparationHipsOverHead,Supported_Headstand_II_with_Toes_on_the_Ground
HeadstandSupportedIV,Supported Headstand IV,salamba shirshasana d,sālamba śīrṣāsana d,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedIV,Supported_Headstand_IV_Salamba_Shirshasana_D
HeadstandSupportedIVPreparation,Supported Headstand IV (Preparation),,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedIVPreparation,Supported_Headstand_IV_Preparation
HeadstandSupportedIVPreparationHipsOverHead,Supported Headstand IV with Toes on the Ground,,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedIVPreparationHipsOverHead,Supported_Headstand_IV_with_Toes_on_the_Ground
HeadstandSupportedLift,Supported Headstand Lift,urdhva shirshasana,ūrdhva śīrṣāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedLift,Supported_Headstand_Lift_Urdhva_Shirshasana
HeadstandSupportedLotus,Supported Headstand with Lotus Legs,padma shirshasana,padma śīrṣāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedLotus,Supported_Headstand_with_Lotus_Legs_Padma_Shirshasana
HeadstandSupportedLotusSide,Side Supported Headstand with Lotus Legs,parshva padma shirshasana,pārśva padma śīrṣāsana,arm_balance_and_inversion,twist,expert,https://pocketyoga.com/pose/HeadstandSupportedLotusSide,Side_Supported_Headstand_with_Lotus_Legs_Parshva_Padma_Shirshasana
HeadstandSupportedOneLegged,One Legged Supported Headstand,eka pada shirshasana,eka pāda śīrṣāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedOneLegged,One_Legged_Supported_Headstand_Eka_Pada_Shirshasana
HeadstandSupportedOneLeggedSide,Side One Legged Supported Headstand,parshva eka pada shirshasana,pārśva eka pāda śīrṣāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedOneLeggedSide,Side_One_Legged_Supported_Headstand_Parshva_Eka_Pada_Shirshasana
HeadstandSupportedPreparation,Supported Headstand (Preparation),,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedPreparation,Supported_Headstand_Preparation
HeadstandSupportedPreparationHipsOverHead,Supported Headstand with Toes on the Ground,,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandSupportedPreparationHipsOverHead,Supported_Headstand_with_Toes_on_the_Ground
HeadstandSupportedRevolvedSplitLegged,Revolved Split Legged Supported Headstand,parivritta eka pada shirshasana,parivṛtta eka pāda śīrṣāsana,arm_balance_and_inversion,twist,expert,https://pocketyoga.com/pose/HeadstandSupportedRevolvedSplitLegged,Revolved_Split_Legged_Supported_Headstand_Parivritta_Eka_Pada_Shirshasana
HeadstandSupportedRevolvedSplitLeggedPreparation,Supported Headstand with Splits,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandSupportedRevolvedSplitLeggedPreparation,Supported_Headstand_with_Splits
HeadstandSupportedSide,Side Supported Headstand,parshva shirshasana,pārśva śīrṣāsana,arm_balance_and_inversion,twist,expert,https://pocketyoga.com/pose/HeadstandSupportedSide,Side_Supported_Headstand_Parshva_Shirshasana
HeadstandSupportedTuck,Supported Headstand Tuck,akunchanasana,ākuñcanāsana,arm_balance_and_inversion,balancing,intermediate,https://pocketyoga.com/pose/HeadstandSupportedTuck,Supported_Headstand_Tuck_Akunchanasana
HeadstandTripod,Tripod Headstand,mukta hasta shirshasana a,mukta hasta śīrṣāsana a,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandTripod,Tripod_Headstand_Mukta_Hasta_Shirshasana_A
HeadstandTripodEagle,Tripod Headstand with Eagle Legs,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandTripodEagle,Tripod_Headstand_with_Eagle_Legs
HeadstandTripodKneesOnElbows,Tripod Headstand with Knees on Elbows,,,arm_balance_and_inversion,balancing,intermediate,https://pocketyoga.com/pose/HeadstandTripodKneesOnElbows,Tripod_Headstand_with_Knees_on_Elbows
HeadstandTripodLotus,Tripod Headstand with Lotus Legs,padma mukta hasta shirshasana a,padma mukta hasta śīrṣāsana a,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandTripodLotus,Tripod_Headstand_with_Lotus_Legs_Padma_Mukta_Hasta_Shirshasana_A
HeadstandTripodPreparation,Tripod Headstand (Preparation),,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandTripodPreparation,Tripod_Headstand_Preparation
HeadstandTripodPreparationHipsOverHead,Tripod Headstand with Toes on the Ground,,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandTripodPreparationHipsOverHead,Tripod_Headstand_with_Toes_on_the_Ground
HeadstandTripodPreparationWideLegged,Tripod Headstand (Preparation),,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandTripodPreparationWideLegged,Tripod_Headstand_Preparation_HeadstandTripodPreparationWideLegged
HeadstandTripodSpiralLegs,Tripod Headstand - Spiral the Legs,parivritta eka pada shirshasana b,parivṛtta eka pāda śīrṣāsana b,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandTripodSpiralLegs,Tripod_Headstand_Spiral_the_Legs_Parivritta_Eka_Pada_Shirshasana_B
HeadstandTripodStraightArms,Free Hands Headstand II,mukta hasta shirshasana b,mukta hasta śīrṣāsana b,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandTripodStraightArms,Free_Hands_Headstand_II_Mukta_Hasta_Shirshasana_B
HeadstandTripodStraightArmsII,Free Hands Headstand III,mukta hasta shirshasana c,mukta hasta śīrṣāsana c,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/HeadstandTripodStraightArmsII,Free_Hands_Headstand_III_Mukta_Hasta_Shirshasana_C
HeadstandTripodStraightArmsIIPreparation,Free Hands Headstand III (Preparation),,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandTripodStraightArmsIIPreparation,Free_Hands_Headstand_III_Preparation
HeadstandTripodStraightArmsIIPreparationHipsOverHead,Free Hands Headstand III with Toes on the Ground,,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandTripodStraightArmsIIPreparationHipsOverHead,Free_Hands_Headstand_III_with_Toes_on_the_Ground
HeadstandTripodStraightArmsPreparation,Free Hands Headstand II (Preparation),,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandTripodStraightArmsPreparation,Free_Hands_Headstand_II_Preparation
HeadstandTripodStraightArmsPreparationHipsOverHead,Free Hands Headstand II with Toes on the Ground,,,arm_balance_and_inversion,forward_bend,beginner,https://pocketyoga.com/pose/HeadstandTripodStraightArmsPreparationHipsOverHead,Free_Hands_Headstand_II_with_Toes_on_the_Ground
HeadToKnee,Head to Knee I,janu shirshasana a,jānu śīrṣāsana a,seated,forward_bend,beginner,https://pocketyoga.com/pose/HeadToKnee,Head_to_Knee_I_Janu_Shirshasana_A
HeadToKneeII,Head to Knee II,janu shirshasana b,jānu śīrṣāsana b,seated,forward_bend,intermediate,https://pocketyoga.com/pose/HeadToKneeII,Head_to_Knee_II_Janu_Shirshasana_B
HeadToKneeIII,Head to Knee III,janu shirshasana c,jānu śīrṣāsana c,seated,forward_bend,intermediate,https://pocketyoga.com/pose/HeadToKneeIII,Head_to_Knee_III_Janu_Shirshasana_C
HeadToKneeIIIPreparation,Head to Knee III (Preparation),,,seated,forward_bend,intermediate,https://pocketyoga.com/pose/HeadToKneeIIIPreparation,Head_to_Knee_III_Preparation
HeadToKneeIIPreparation,Head to Knee II (Preparation),,,seated,forward_bend,intermediate,https://pocketyoga.com/pose/HeadToKneeIIPreparation,Head_to_Knee_II_Preparation
HeadToKneePreparation,Head to Knee I (Preparation),,,seated,forward_bend,beginner,https://pocketyoga.com/pose/HeadToKneePreparation,Head_to_Knee_I_Preparation
HeadToKneeRevolved,Revolved Head to Knee,parivritta janu shirshasana,parivṛtta jānu śīrṣāsana,seated,twist,intermediate,https://pocketyoga.com/pose/HeadToKneeRevolved,Revolved_Head_to_Knee_Parivritta_Janu_Shirshasana
Hero,Hero,virasana,vīrāsana,seated,backbend,beginner,https://pocketyoga.com/pose/Hero,Hero_Virasana
HeroHalf,Half Hero,ardha virasana,ardha vīrāsana,seated,backbend,beginner,https://pocketyoga.com/pose/HeroHalf,Half_Hero_Ardha_Virasana
HeroHalfReclining,Supine Half Hero,supta ardha virasana,supta ardha vīrāsana,supine,backbend,intermediate,https://pocketyoga.com/pose/HeroHalfReclining,Supine_Half_Hero_Supta_Ardha_Virasana
Heron,Heron,kraunchasana,krauñcāsana,seated,neutral,expert,https://pocketyoga.com/pose/Heron,Heron_Kraunchasana
HeronPreparation,Heron (Preparation),,,seated,neutral,expert,https://pocketyoga.com/pose/HeronPreparation,Heron_Preparation
HeroReclining,Supine Hero,supta virasana,supta vīrāsana,supine,backbend,intermediate,https://pocketyoga.com/pose/HeroReclining,Supine_Hero_Supta_Virasana
HeroRecliningExtended,Extended Supine Hero,utthita supta virasana,utthita supta vīrāsana,supine,backbend,intermediate,https://pocketyoga.com/pose/HeroRecliningExtended,Extended_Supine_Hero_Utthita_Supta_Virasana
HeroTwist,Hero Twist,parivritta virasana,parivṛtta vīrāsana,seated,twist,beginner,https://pocketyoga.com/pose/HeroTwist,Hero_Twist_Parivritta_Virasana
HorizonLunge,Horizon Lunge,,,arm_leg_support,twist,intermediate,https://pocketyoga.com/pose/HorizonLunge,Horizon_Lunge
Horse,Horse,vatayanasana,vātāyanāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/Horse,Horse_Vatayanasana
KneePile,Shoelace,,,seated,neutral,beginner,https://pocketyoga.com/pose/KneePile,Shoelace
KneePileBind,Cow Face,gomukhasana,gomukhāsana,seated,neutral,intermediate,https://pocketyoga.com/pose/KneePileBind,Cow_Face_Gomukhasana
KneePileBindForward,Cow Face Forward Bend,gomukhasana,gomukhāsana,seated,forward_bend,intermediate,https://pocketyoga.com/pose/KneePileBindForward,Cow_Face_Forward_Bend_Gomukhasana
KneePileEagle,Shoelace with Eagle Arms,,,seated,neutral,beginner,https://pocketyoga.com/pose/KneePileEagle,Shoelace_with_Eagle_Arms
KneePileEagleForward,Shoelace Forward Bend with Eagle Arms,,,seated,forward_bend,beginner,https://pocketyoga.com/pose/KneePileEagleForward,Shoelace_Forward_Bend_with_Eagle_Arms
KneePileForward,Shoelace Forward Bend,,,seated,forward_bend,beginner,https://pocketyoga.com/pose/KneePileForward,Shoelace_Forward_Bend
KneePileTwist,Shoelace Twist,,,seated,twist,beginner,https://pocketyoga.com/pose/KneePileTwist,Shoelace_Twist
LiftUp,Lift Up,,,arm_balance_and_inversion,balancing,beginner,https://pocketyoga.com/pose/LiftUp,Lift_Up
LiftUpPreparation,Seated with Legs Crossed,,,seated,neutral,beginner,https://pocketyoga.com/pose/LiftUpPreparation,Seated_with_Legs_Crossed
LittleThunderbolt,Little Thunderbolt,laghu vajrasana,laghu vajrāsana,arm_leg_support,backbend,expert,https://pocketyoga.com/pose/LittleThunderbolt,Little_Thunderbolt_Laghu_Vajrasana
Lizard,Lizard,uttana pristhasana,uttāna pristhāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/Lizard,Lizard_Uttana_Pristhasana
LizardBound,Bound Lizard,,,arm_leg_support,balancing,expert,https://pocketyoga.com/pose/LizardBound,Bound_Lizard
LizardKneeling,Lizard on the Knee,uttana pristhasana,uttāna pristhāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/LizardKneeling,Lizard_on_the_Knee_Uttana_Pristhasana
Locust,Locust I,shalabhasana a,śalabhāsana a,prone,backbend,intermediate,https://pocketyoga.com/pose/Locust,Locust_I_Shalabhasana_A
LocustFull,Inverted Locust,viparita shalabhasana,viparīta śalabhāsana,prone,backbend,expert,https://pocketyoga.com/pose/LocustFull,Inverted_Locust_Viparita_Shalabhasana
LocustHalf,Half Locust,ardha shalabhasana,ardha śalabhāsana,prone,backbend,beginner,https://pocketyoga.com/pose/LocustHalf,Half_Locust_Ardha_Shalabhasana
LocustHalfArmForward,Half Locust with Opposite Arm Extended,,,prone,backbend,beginner,https://pocketyoga.com/pose/LocustHalfArmForward,Half_Locust_with_Opposite_Arm_Extended
LocustII,Locust II,shalabhasana b,śalabhāsana b,prone,backbend,intermediate,https://pocketyoga.com/pose/LocustII,Locust_II_Shalabhasana_B
LocustIII,Locust III,shalabhasana c,śalabhāsana c,prone,backbend,intermediate,https://pocketyoga.com/pose/LocustIII,Locust_III_Shalabhasana_C
LocustPreparation,Locust (Preparation),,,prone,neutral,beginner,https://pocketyoga.com/pose/LocustPreparation,Locust_Preparation
LordOfTheDance,Standing Bow,dandayamana dhanurasana,daṇḍayamana dhanurāsana,standing,balancing,intermediate,https://pocketyoga.com/pose/LordOfTheDance,Standing_Bow_Dandayamana_Dhanurasana
LordOfTheDanceFull,Lord of the Dance,natarajasana,naṭarājāsana,standing,balancing,expert,https://pocketyoga.com/pose/LordOfTheDanceFull,Lord_of_the_Dance_Natarajasana
LordOfTheDancePreparation,Standing Bow (Preparation),,,standing,balancing,intermediate,https://pocketyoga.com/pose/LordOfTheDancePreparation,Standing_Bow_Preparation
LordOfTheDanceRevolved,Revolved Lord of the Dance,parivritta natarajasana,parivṛtta naṭarājāsana,standing,balancing,intermediate,https://pocketyoga.com/pose/LordOfTheDanceRevolved,Revolved_Lord_of_the_Dance_Parivritta_Natarajasana
LordOfTheFishes,Lord of the Fishes,paripurna matsyendrasana,paripūrṇa matsyendrāsana,seated,twist,expert,https://pocketyoga.com/pose/LordOfTheFishes,Lord_of_the_Fishes_Paripurna_Matsyendrasana
LordOfTheFishesHalf,Half Lord of the Fishes,ardha matsyendrasana,ardha matsyendrāsana,seated,twist,expert,https://pocketyoga.com/pose/LordOfTheFishesHalf,Half_Lord_of_the_Fishes_Ardha_Matsyendrasana
LotusBound,Bound Lotus,baddha padmasana,baddha padmāsana,seated,neutral,expert,https://pocketyoga.com/pose/LotusBound,Bound_Lotus_Baddha_Padmasana
LotusBoundForward,Extended Bound Lotus,yoga mudrasana,yoga mudrāsana,seated,forward_bend,expert,https://pocketyoga.com/pose/LotusBoundForward,Extended_Bound_Lotus_Yoga_Mudrasana
LotusElevated,Scale,tolasana,tolāsana,arm_balance_and_inversion,neutral,intermediate,https://pocketyoga.com/pose/LotusElevated,Scale_Tolasana
LotusFull,Lotus,padmasana,padmāsana,seated,neutral,intermediate,https://pocketyoga.com/pose/LotusFull,Lotus_Padmasana
LotusHalf,Half Lotus,ardha padmasana,ardha padmāsana,seated,neutral,beginner,https://pocketyoga.com/pose/LotusHalf,Half_Lotus_Ardha_Padmasana
LotusLevitating,Levitating Lotus,,,seated,neutral,expert,https://pocketyoga.com/pose/LotusLevitating,Levitating_Lotus
Lunge,Lunge,,,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/Lunge,Lunge
LungeArmForward,Lunge with Arm Extended Forward,,,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/LungeArmForward,Lunge_with_Arm_Extended_Forward
LungeArmUp,Lunge with Arm Extended Up,,,arm_leg_support,twist,intermediate,https://pocketyoga.com/pose/LungeArmUp,Lunge_with_Arm_Extended_Up
LungeBack,Lunge with Hamstring Stretch,,,arm_leg_support,forward_bend,intermediate,https://pocketyoga.com/pose/LungeBack,Lunge_with_Hamstring_Stretch
LungeBind,Bound Side Angle,baddha parshvakonasana,baddha pārśvakoṇāsana,standing,twist,expert,https://pocketyoga.com/pose/LungeBind,Bound_Side_Angle_Baddha_Parshvakonasana
LungeCrescent,Crescent Lunge,ashta chandrasana,aṣṭa candrāsana,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescent,Crescent_Lunge_Ashta_Chandrasana
LungeCrescentCactusArms,Crescent Lunge with Cactus Arms,,,standing,backbend,intermediate,https://pocketyoga.com/pose/LungeCrescentCactusArms,Crescent_Lunge_with_Cactus_Arms
LungeCrescentEagle,Crescent Lunge with Eagle Arms,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentEagle,Crescent_Lunge_with_Eagle_Arms
LungeCrescentEagleBackbend,Crescent Lunge with Eagle Arm Backbend,,,standing,backbend,intermediate,https://pocketyoga.com/pose/LungeCrescentEagleBackbend,Crescent_Lunge_with_Eagle_Arm_Backbend
LungeCrescentEagleForward,Crescent Lunge Halfway Fold with Eagle Arms,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentEagleForward,Crescent_Lunge_Halfway_Fold_with_Eagle_Arms
LungeCrescentForwardArmsSide,Crescent Lunge Halfway Fold with Airplane Arms,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentForwardArmsSide,Crescent_Lunge_Halfway_Fold_with_Airplane_Arms
LungeCrescentForwardBend,Crescent Lunge Halfway Fold,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentForwardBend,Crescent_Lunge_Halfway_Fold
LungeCrescentHandsOnHips,Crescent Lunge with Hands on Hips,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentHandsOnHips,Crescent_Lunge_with_Hands_on_Hips
LungeCrescentHandsOnHipsForwardBend,Crescent Lunge Halfway Fold with Hands on Hips,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentHandsOnHipsForwardBend,Crescent_Lunge_Halfway_Fold_with_Hands_on_Hips
LungeCrescentKneelingBind,Crescent Lunge on the Knee with King Pigeon,eka pada raja kapotasana b,eka pāda rāja kapotāsana b,standing,backbend,expert,https://pocketyoga.com/pose/LungeCrescentKneelingBind,Crescent_Lunge_on_the_Knee_with_King_Pigeon_Eka_Pada_Raja_Kapotasana_B
LungeCrescentKneelingCactusArms,Crescent Lunge on the Knee with Cactus Arms,,,standing,backbend,beginner,https://pocketyoga.com/pose/LungeCrescentKneelingCactusArms,Crescent_Lunge_on_the_Knee_with_Cactus_Arms
LungeCrescentKneelingEagle,Crescent Lunge on the Knee with Eagle Arms,,,standing,balancing,beginner,https://pocketyoga.com/pose/LungeCrescentKneelingEagle,Crescent_Lunge_on_the_Knee_with_Eagle_Arms
LungeCrescentKneelingEagleBackbend,Crescent Lunge on the Knee with Eagle Arm Backbend,,,standing,backbend,beginner,https://pocketyoga.com/pose/LungeCrescentKneelingEagleBackbend,Crescent_Lunge_on_the_Knee_with_Eagle_Arm_Backbend
LungeCrescentKneelingEagleForward,Crescent Lunge Halfway Fold on the Knee with Eagle Arms,,,standing,balancing,beginner,https://pocketyoga.com/pose/LungeCrescentKneelingEagleForward,Crescent_Lunge_Halfway_Fold_on_the_Knee_with_Eagle_Arms
LungeCrescentKneelingForwardArmsSide,Crescent Lunge Halfway Fold on the Knee with Airplane Arms,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentKneelingForwardArmsSide,Crescent_Lunge_Halfway_Fold_on_the_Knee_with_Airplane_Arms
LungeCrescentKneelingForwardBend,Crescent Lunge Halfway Fold on the Knee,,,standing,balancing,beginner,https://pocketyoga.com/pose/LungeCrescentKneelingForwardBend,Crescent_Lunge_Halfway_Fold_on_the_Knee
LungeCrescentKneelingHandsInterlaced,Crescent Lunge on the Knee with Hands Interlaced,,,standing,backbend,intermediate,https://pocketyoga.com/pose/LungeCrescentKneelingHandsInterlaced,Crescent_Lunge_on_the_Knee_with_Hands_Interlaced
LungeCrescentKneelingHandsOnHips,Crescent Lunge on the Knee with Hands on Hips,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentKneelingHandsOnHips,Crescent_Lunge_on_the_Knee_with_Hands_on_Hips
LungeCrescentKneelingHandsOnHipsForwardBend,Crescent Lunge Halfway Fold on the Knee with Hands on Hips,,,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentKneelingHandsOnHipsForwardBend,Crescent_Lunge_Halfway_Fold_on_the_Knee_with_Hands_on_Hips
LungeCrescentKneelingLookingUp,Crescent Lunge on the Knee with Gaze Up,anjaneyasana,añjaneyāsana,standing,balancing,intermediate,https://pocketyoga.com/pose/LungeCrescentKneelingLookingUp,Crescent_Lunge_on_the_Knee_with_Gaze_Up_Anjaneyasana
LungeCrescentKneelingTriceps,Crescent Lunge on the Knee with Triceps Stretch,,,standing,balancing,beginner,https://pocketyoga.com/pose/LungeCrescentKneelingTriceps,Crescent_Lunge_on_the_Knee_with_Triceps_Stretch
LungeCrescentKneelingTwist,Crescent Lunge Twist on the Knee,,,standing,twist,beginner,https://pocketyoga.com/pose/LungeCrescentKneelingTwist,Crescent_Lunge_Twist_on_the_Knee
